Vmag,Plx,e_Plx,B-V,Amag,target
6.58,2.83,0.52,-0.159,13.838932,0
8.78,1.49,1.22,1.194,14.645931,0
8.3,1.85,1.06,1.071,14.635859,0
8.44,2.45,0.99,0.139,15.38583,1
8.49,3.58,0.84,1.261,16.259415,0
8.72,7.53,0.81,0.452,18.103975,1
7.91,1.53,0.66,1.532,13.833457,0
6.7,8.62,0.83,1.01,16.377537,0
5.65,54.92,0.45,0.6,19.348652,1
8.42,3.33,0.94,0.208,16.03222,0
9.91,3.97,1.54,0.737,17.903954,1
9.78,8.38,2.2,0.429,19.396221,1
8.9,2.03,0.69,-0.046,15.43748,1
8.68,7.88,1.23,0.344,18.162632,1
9.24,7.06,1.3,0.403,18.484024,1
9.41,2.35,2.68,0.4,16.265339,1
8.31,2.68,0.81,1.05,15.450674,0
5.78,9.87,0.79,0.26,15.751587,1
8.45,2.12,0.89,1.503,15.081679,0
8.68,0.04,0.96,1.026,6.6903,0
8.77,2.75,0.8,-0.074,15.966664,0
1.74,3.99,0.79,-0.199,9.744864,0
7.44,10.56,0.82,0.5,17.558321,1
6.35,6.9,0.8,-0.02,15.544245,1
7.27,6.5,0.95,0.137,16.334568,0
10.25,5.19,1.91,0.488,18.825836,1
8.57,6.97,0.82,0.84,17.786163,0
8.37,7.41,0.77,0.358,17.71909,1
9.92,0.62,1.94,0.363,13.881958,1
7.93,11.61,2.65,0.526,18.254162,1
8.27,0.82,1.03,1.107,12.839069,1
9.13,4.81,1.32,0.528,17.540726,1
10.18,-3.99,1.52,1.04,18.184864,0
8.59,4.38,1.16,1.315,16.79737,0
9.42,14.78,1.79,0.82,20.268372,1
9.4,4.88,1.28,0.623,17.842098,1
7.93,2.07,0.7,-0.054,14.509851,0
6.05,25.06,0.68,0.576,18.044907,1
7.75,9.35,0.69,0.269,17.604057,0
6.44,9.0,0.54,0.026,16.211212,1
8.98,3.45,1.04,1.032,16.669094,1
7.69,3.39,0.77,1.021,15.341,0
10.34,3.51,2.61,0.396,18.066536,1
7.52,0.09,0.98,1.53,7.291212,0
7.63,2.69,0.76,1.187,14.778762,0
8.62,0.1,1.03,-0.062,8.62,1
5.8,13.92,1.48,0.248,16.518196,1
7.86,15.55,0.69,0.71,18.818653,1
8.61,3.23,0.76,0.945,16.156012,0
8.79,3.13,1.31,0.979,16.267723,0
9.04,1.95,1.22,0.074,15.490173,1
6.66,11.63,0.61,0.442,16.987898,1
4.98,1.72,1.0,-0.097,11.157642,1
5.86,11.44,0.64,1.287,16.15213,0
9.37,8.54,1.64,0.682,19.02729,1
7.64,4.21,0.71,0.06,15.76141,1
9.89,11.3,2.34,0.77,20.155392,1
8.53,2.93,0.88,0.924,15.864338,0
6.97,2.17,1.2,1.46,13.652298,0
7.71,5.56,0.96,0.159,16.435375,1
6.41,3.07,0.58,0.549,13.845692,0
9.07,11.05,1.24,0.618,19.28681,1
7.93,9.6,1.32,0.481,17.841356,1
8.54,1.93,1.05,1.126,14.967787,0
9.35,3.19,0.86,0.199,16.868954,1
8.39,2.32,0.73,0.249,15.21744,1
7.24,6.7,1.08,1.262,16.370373,0
7.28,5.76,1.13,1.23,16.082113,0
6.49,3.12,0.82,0.81,13.9607725,0
8.96,2.7,1.23,1.078,16.11682,1
6.82,7.29,0.91,1.098,16.133638,1
9.62,-3.53,3.91,0.044,17.358873,1
6.84,1.6,0.83,1.663,12.8606,0
7.85,0.32,1.09,1.631,10.37575,0
7.87,15.36,1.07,0.683,18.801956,1
8.36,7.15,2.31,0.48,17.63153,1
9.25,1.18,1.17,1.403,14.60941,0
9.75,-0.65,1.54,1.015,13.814567,0
6.95,3.75,1.15,1.79,14.820156,0
8.78,2.01,1.57,0.192,15.29598,0
8.06,0.79,0.74,0.039,12.548136,0
9.91,4.03,1.57,0.26,17.936525,1
8.27,7.65,0.93,0.405,17.688309,1
7.88,9.04,0.98,1.009,17.660843,0
7.76,3.63,1.32,-0.15,15.559534,1
7.79,1.17,0.67,1.45,13.130929,0
4.64,13.71,0.82,0.951,15.325188,1
8.51,4.52,3.3,0.691,16.785692,1
7.21,10.53,1.1,0.197,17.322144,1
8.27,5.64,1.09,0.979,17.026396,0
9.96,13.45,1.4,0.823,20.603611,1
9.01,11.93,1.38,0.605,19.393204,1
9.22,3.37,1.38,0.555,16.85815,1
6.38,12.24,0.56,0.295,16.818909,0
7.81,6.58,0.56,0.064,16.901129,1
6.65,11.1,0.9,0.836,16.876614,0
8.05,7.49,0.89,0.518,17.42241,1
7.96,18.93,1.7,0.672,19.345753,1
9.31,2.38,1.67,0.817,16.192886,1
8.34,3.86,1.0,1.081,16.272938,0
8.76,4.21,1.14,1.012,16.88141,1
7.64,4.1,0.57,0.05,15.703918,1
7.68,5.4,0.92,1.062,16.341969,0
8.89,33.68,0.87,0.955,21.526861,1
9.81,3.85,1.39,0.437,17.737305,1
8.05,-1.29,1.26,0.304,13.602949,0
7.39,4.28,0.98,1.491,15.547218,0
9.49,2.32,1.41,0.552,16.31744,1
8.78,3.45,1.14,1.127,16.469095,0
8.58,1.27,0.73,-0.006,14.099018,1
6.5,5.3,0.55,0.055,15.121379,1
7.93,1.27,1.21,1.72,13.4490185,0
5.9,10.0,0.76,0.168,15.9,1
7.59,2.16,0.92,1.536,14.262269,0
8.71,11.74,1.66,0.607,19.05834,1
8.28,4.43,0.96,1.424,16.51202,0
8.08,7.85,1.21,0.411,17.554348,0
10.26,3.21,2.27,0.366,17.792526,1
6.45,5.81,0.55,0.899,15.270881,0
8.8,8.76,1.04,0.502,18.51252,1
7.31,2.14,0.54,0.87,13.962069,0
9.61,9.68,9.92,0.641,19.539375,1
8.88,3.6,1.78,0.379,16.661512,1
9.39,2.53,1.41,1.089,16.405603,0
9.21,9.54,1.38,0.639,19.107742,1
5.37,2.95,0.93,0.495,12.7191105,0
10.14,4.25,1.47,0.443,18.281944,1
8.58,3.81,1.19,1.217,16.484625,0
6.2,6.24,0.85,0.133,15.175923,1
8.7,2.95,1.11,1.0,16.04911,1
8.82,6.54,0.88,0.546,17.897888,1
9.69,2.05,1.68,1.393,16.248768,0
7.49,2.48,0.99,1.455,14.462257,0
6.68,41.05,1.58,0.764,19.746567,1
8.55,0.24,1.25,1.313,10.4510565,0
7.97,2.08,1.13,-0.063,14.560316,0
8.54,2.27,1.33,1.746,15.320129,0
7.44,19.19,0.89,0.735,18.855375,1
7.1,6.97,0.94,0.028,16.316164,1
9.18,10.83,0.9,0.705,19.353142,1
2.24,22.1,0.46,1.521,13.961962,0
8.71,2.97,0.77,1.163,16.073782,0
8.63,6.16,1.29,-0.089,17.577904,1
5.68,12.84,0.77,0.093,16.222826,1
7.75,2.79,0.81,0.042,14.978022,1
9.46,2.13,1.0,0.5,16.101898,1
